"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GIIS83DU","webpage","","","Open Access Initiative Values","Smithsonian Institution","","","","https://www.si.edu/openaccess/values","Learn more about Open Access Initiative Values","","2020-07-23 15:34:03","2020-07-23 15:34:03","2020-07-23 15:34:03","","","","","","","","","","","","","","en","","","","","","","Library Catalog: www.si.edu","","/home/diegodlh/Zotero/storage/QQ2XY5DA/values.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5GB7XZZ2","webpage","","","Open Access FAQ","Smithsonian Institution","","","","https://www.si.edu/openaccess/faq","Learn more about Open Access FAQ","","2020-07-23 15:34:01","2020-07-23 15:34:01","2020-07-23 15:34:01","","","","","","","","","","","","","","en","","","","","","","Library Catalog: www.si.edu","","/home/diegodlh/Zotero/storage/CT6S47CU/faq.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3WITW2C4","blogPost","2020","","A Symposium to Center Latin American and Caribbean Partners • CLIR","CLIR","","","","https://www.clir.org/2020/07/a-symposium-to-center-latin-american-and-caribbean-partners/","This is part one of a two-part interview with the organizers of “Capacity Assessment of Latin American and Caribbean Partners: A Symposium about Open-Access, Technological Needs, and Institutional Sustainability,” which took place virtually April 16-17, 2020. Part two will be published tomorrow, July 14. In this piece, Nicole Kang Ferraiolo, CLIR’s Director of Global Strategic Initiatives, interviews:    Hadassah St. Hubert, CLIR Postdoctoral Fellow at Digital Library of the Caribbean at Florida International University Jennifer Isasi, Assistant Director of the Digital Pedagogy and Scholarship Office and Director of the Digital Liberal Arts Initiative at Penn State University Nicté Fuller Medina, CLIR Postdoctoral Fellow at the University of California, Los Angeles Libraries in Data Curation in Latin American and Caribbean Studies Margie Montañez, Humanities Librarian at the University of New Mexico and a previous CLIR fellow for Data Curation for Latin American and Caribbean Studies at UNM Can you provide a brief overview of the Latin American and Caribbean partners symposium? Hadassah St. Hubert: The full title was Capacity Assessment of Latin American and Caribbean Partners: A Symposium about Open Access, Technological Needs and Institutional Sustainability. The symposium was a microgrant project through CLIR’s Data Curation Fellowships in Latin American and Caribbean Studies, funded by the Mellon Foundation. The conference took place April 16th and 17th; it was initially intended to be an in-person event but was held via Zoom and live stream on Facebook because of COVID-19. The intended audience for the symposium was people who do post custodial archival work, our partners in Latin America and the Caribbean, and then funding institutions that support digitization projects in these areas. In total we had 126 people participating via Zoom and over 1,700 views on Facebook. Nicté Fuller Medina: It was for the cultural heritage institutions, libraries, and archives in Latin America and the Caribbean. It was about connecting them with resources and creating a space for a conversation with institutions in the US and Canada. Margie Montañez: At the end of the day, we had partners from six different countries: Mexico, Colombia, Haiti, Jamaica, Barbados, and the US. Jennifer Isasi: Also the keynote was in Argentina and the audience was also from several other countries.  What were the symposium’s goals? Margie Montañez: One of the major goals was to find out what the institutions in Latin America and in the Caribbean needed from their US partner institutions. A second goal was to talk with our partner institutions about technical capabilities. Third, we wanted to talk about who they see using their materials and how can we help them get these digitized materials to their intended audiences. Hadassah St. Hubert: We also wanted to create a set of guidelines and recommendations for libraries and archives in the US and Canada, and for those who fund these projects, based on the conversations at the symposium. Nicté Fuller Medina: The idea was to get insights from the institutions in the Caribbean and Latin America, so that these partnerships are more transparent, and so there was a platform for those voices. Because of the power dynamic between the so-called global North and global South, a lot of what happens relies on individual institutions. We wanted to be able to provide a broader picture. Jennifer Isasi: Another thing that we did is bring institutions together from the region. We found that they often don’t know each other, and by creating this group, they can now share information. What were some of the considerations you had in mind when designing it? Nicté Fuller Medina: One of the things that we wanted to do was to make sure that the invited institutions from the Caribbean and Latin America had a space to showcase the work that they were doing for an international audience. And then we wanted to put them in the same room with funders to demystify that whole process and put a face to funding programs. The microgrant we received was so important because it takes funding to be able to facilitate participation from the global South because of how the North-South divide operates. Hadassah St. Hubert: I just wanted to add a brief note about how we selected our keynotes. We did a survey of the Latin American and Caribbean partners before the symposium, and they were chosen as a result of the topics. Open access was one of their topics that they wanted to learn about and that’s why we chose Gimena del Rio Riande. Margie Montañez: We were very intentional about centering the voices from our partner institutions, so that it wasn’t about the needs of a US researcher or the needs of a US institution. What are the next steps for this project? Jennifer Isasi: We are developing guidelines and recommendations with different audiences in mind. We have a section for institutions in the global North that have an interest in digitizing and curating materials from Latin America and the Caribbean; we have a set of recommendations for institutions that are funding these projects, and one for the institutions in the Caribbean and Latin America. I will say that overall, the recommendation is that there be more communication and community creation among them. For instance, US and Canada-based institutions could reduce the burdens on Latin American and Caribbean partners by making paperwork easier or taking on the cost of translation work, particularly in the case of grant applications. Nicté Fuller Medina: We’ll be making these recommendations public along with the recordings of the sessions. We’re planning to translate them into Spanish, French, and possibly Portuguese. Jennifer has also started working on captioning for the videos. It’s important to us to translate what we are producing so that it’s accessible to institutions in Latin America and the Caribbean. The second part of this interview, focused on the impact of COVID-19 on the symposium, will be published tomorrow. Recordings of the symposium sessions can be found here. The forthcoming recommendations and guidelines are expected to be available in fall 2020 on the symposium Read More","2020-07-13","2020-07-23 15:33:55","2020-07-23 15:33:55","2020-07-23 15:33:55","","","","","","","","","","","","","","en-US","","","","","","","Library Catalog: www.clir.org","","/home/diegodlh/Zotero/storage/SKNHREKR/a-symposium-to-center-latin-american-and-caribbean-partners.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3TPTGEPC","videoRecording","2020","","Photographing vulnerable populations: The ethics of protest coverage","","","","","https://www.youtube.com/watch?v=UsTzUy7jeBQ","Brent Lewis, photo editor at the New York Times, Tara Pixley, assistant professor at Loyola Marymount University and Carlos Gonzalez, photojournalist at the San Francisco Chronicle, will lead a discussion moderated by Leah Millis, photojournalist at Reuters, on photographing vulnerable populations in public spaces and the ethics of protest coverage.","2020-07-10","2020-07-21 14:58:18","2020-07-21 14:58:18","2020-07-21 14:58:18","","","","","","","Photographing vulnerable populations","","","","","","","","","","","","YouTube","","","","","","","","","","","","","","","","","","","","","","","","","","","","1:33:46","","","","","","","","","","","","","","","","","","","","","","","","",""
"IG692XEB","webpage","","","Ethical Explorer Pack – Tools to help manage the future impact of today’s tech","Ethical Explorer","","","","https://ethicalexplorer.org/","The Ethical Explorer Pack is your go-to tool for building tech that values fundamental human rights, empowers users, and creates healthy online experiences.","","2020-07-21 12:08:04","2020-07-21 12:08:04","2020-07-21 12:08:04","","","","","","","","","","","","","","en-US","","","","","","","Library Catalog: ethicalexplorer.org","","/home/diegodlh/Zotero/storage/E79NQ2SK/ethicalexplorer.org.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H47QRNSN","webpage","","","Data Protection and Historians | RHS","","","","","https://royalhistsoc.org/policy/data-protection-and-historians/","","","2020-07-21 10:16:21","2020-07-21 10:16:21","2020-07-21 10:16:21","","","","","","","","","","","","","","","","","","","","","","","/home/diegodlh/Zotero/storage/TJCIBSW9/data-protection-and-historians.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YG6RT9NK","journalArticle","2000","Burkett, Ingrid","Beyond the ‘information rich and poor’: futures understandings of inequality in globalising informational economies","Futures","","0016-3287","10.1016/S0016-3287(00)00016-1","http://www.sciencedirect.com/science/article/pii/S0016328700000161","Much of the debate about inequality in globalising informational economies has focused on the future role of information in social development processes. This paper argues that there are five key erroneous assumptions about the nature of inequality in globalising informational economies which underpin much of this debate—both on an academic and popularist level. The paper argues that it is of fundamental importance that these assumptions are critically examined if the futures of communications policy and planning are to adequately address questions of inequality in relation to information, knowledge and communications. Indeed, failure to examine these assumptions may lead futurists and social scientists (particularly in the West) to become complicit in distracting attention away from the very ‘real’ global economic, social and cultural inequalities, to ‘virtual’ inequalities which merely hide an unwillingness to address the core failings of the ‘development’ paradigm.","2000-09-01","2020-07-20 18:40:21","2020-07-20 18:40:21","2020-07-20 18:40:21","679-694","","7","32","","Futures","Beyond the ‘information rich and poor’","","","","","","","en","","","","","ScienceDirect","","","","/home/diegodlh/Zotero/storage/4UP3Q9VG/S0016328700000161.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"285SHB3W","webpage","","","Podcasts","Voices to Hear","","","","https://voicestohearcdatribe.org/podcasts","","","2020-07-15 17:47:21","2020-07-15 17:47:21","2020-07-15 17:47:21","","","","","","","","","","","","","","en-US","","","","","","","Library Catalog: voicestohearcdatribe.org","","/home/diegodlh/Zotero/storage/VS58RTWC/podcasts.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HIH37TEP","webpage","","","#metoo project Schlesinger Library","#metoo project Schlesinger Library","","","","https://www.schlesinger-metooproject-radcliffe.org","","","2020-07-09 17:09:26","2020-07-09 17:09:26","2020-07-09 17:09:26","","","","","","","","","","","","","","en-US","","","","","","","Library Catalog: www.schlesinger-metooproject-radcliffe.org","","/home/diegodlh/Zotero/storage/SYK8F2K7/www.schlesinger-metooproject-radcliffe.org.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5UUVWZ5J","blogPost","","Allahyari, Morehshin","Digital colonialism (2016-2019)","","","","","http://www.morehshin.com/digital-colonialism-2016-2019/","“Material Speculation” is a digital fabrication and 3D printing project by Morehshin Allahyari that inspects Petropolitical and poetic relationships between 3D Printing, Plastic, Oil, Technocapitalism and Jihad.","","2020-07-02 19:23:41","2020-07-02 19:24:58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
